cluster_id,n_images,player_name
0,9,DOU5_DongX
1,8,MRC_XC
2,7,ACT_yue
3,7,GG_xawm
4,7,Gr_SuperRich
5,4,Gr_AK
6,4,Wolves_ChoAi
7,3,MRC_Nanako
8,3,GW_D
9,3,Wolves_487
10,2,YS_D
11,2,FPX.ZQ_DongX
12,2,GG_xawm
13,2,MRC_ALi
14,2,TE_ppei
15,2,WBG_Long
16,2,Wolves_ChoAi
17,2,Wolves_487
18,2,ACT_xen
19,2,GW_Tea
20,2,ACT_Maom
21,2,Wolves_ChoAi
22,2,GG_ppxia
23,2,GG_xawm
24,2,Wolves_Jelly
25,1,DOU5_silverzhi
26,1,FPX.ZQ_DongX
27,1,GG_xawm
28,1,Gr_SuperRich
29,1,MRC_XiaoD
30,1,TE_ppei
31,1,ACT_xen
32,1,Wolves_ChoAi
33,1,YS_D
34,1,ACT_Drop
35,1,FPX.ZQ_SanS
36,1,GG_xawm
37,1,Gr_AK
38,1,MRC_HuaC
39,1,DOU5_Yan
40,1,WBG_Alex
41,1,Wolves_ChoAi
42,1,FPX.ZQ_DongX
43,1,FPX.ZQ_DongX
44,1,FPX.ZQ_Sxy
45,1,FPX.ZQ_DongX
46,1,FPX.ZQ_DongX
47,1,FPX.ZQ_bo1
48,1,GG_fulan
49,1,MRC_XiaoX
50,1,TE_YiHua
51,1,GG_xawm
52,1,Gr_SuperRich
53,1,Gr_SuperRich
54,1,FPX.ZQ_ZiBi
55,1,Gr_SuperRich
56,1,MRC_HuaC
57,1,Gr_SuperRich
58,1,MRC_Huan
59,1,Gr_SuperRich
60,1,YS_XingChen
61,1,MRC_HuaC
62,1,MRC_XiaoD
63,1,GG_kucao
64,1,Gr_AK
65,1,MRC_ALi
66,1,WBG_Long
67,1,Wolves_ChoAi
68,1,MRC_XC
69,1,TE_AnYi
70,1,TE_ppei
71,1,FPX.ZQ_Regesi
72,1,GG_18
73,1,Gr_Czai
74,1,Wolves_ChoAi
75,1,WBG_Alex
76,1,FPX.ZQ_DongX
77,1,GG_ppxia
78,1,WBG_Alex
79,1,MRC_Nanako
80,1,WBG_Alex
81,1,WBG_Huiyi
82,1,Wolves_Lxy
83,1,FPX.ZQ_DongX
84,1,Wolves_guag
85,1,Wolves_ChoAi
86,1,WBG_Alex
87,1,Wolves_Lxy
88,1,YS_lion
89,1,YS_D
90,1,GG_XMX
91,1,Gr_SuperRich
92,1,TE_ppei
93,1,WBG_Alex
94,1,Wolves_ChoAi
95,1,GG_18
96,1,MRC_XiaoD
97,1,WBG_iron
98,1,MRC_XC
99,1,GG_xawm
100,1,Wolves_ChoAi
101,1,MRC_XiaoD
102,1,DOU5_silverzhi
103,1,Wolves_Huan
104,1,GG_kucao
105,1,FPX.ZQ_bo1
106,1,MRC_HuaC
107,1,FPX.ZQ_SanS
108,1,FPX.ZQ_SanS
109,1,GG_xawm
110,1,GG_fulan
111,1,GW_XingChen
112,1,GW_YinL
113,1,GW_D
114,1,GW_YuNan
115,1,WBG_Ymm
116,1,Gr_AK
117,1,GG_ppxia
118,1,GG_18
119,1,Gr_heart
120,1,WBG_1K
121,1,Gr_ac
122,1,DOU5_ZYJ
123,1,TE_AnYi
124,1,DOU5_ZYJ
125,1,TE_Libao
126,1,DOU5_DongX
127,1,FPX.ZQ_Regesi
128,1,.GG_xawm
129,1,TE_huahua
