cluster_id,n_images,player_name
0,23,Gr_Jin
1,17,MRC_BaiLu
2,10,TE_ppei
3,9,GG_xawm
4,9,DOU5_mhxm
5,8,FPX.ZQ_DongX
6,8,Wolves_487
7,6,Wolves_ChoAi
8,5,WBG_Nle
9,4,Wolves_ChoAi
10,4,WBG_Nle
11,4,WBG_Nle
12,3,DOU5_Chen
13,3,TE_Drop
14,3,WBG_Guoker
15,3,Wolves_ChoAi
16,3,TE_Maom
17,3,Wolves_Jelly
18,2,ACT_zz9
19,2,MRC_HuaC
20,2,FPX.ZQ_Yuan
21,2,DOU5_ssa
22,2,ACT_Gougou
23,2,MRC_BaiLu
24,2,Wolves_xmx
25,2,TE_suda
26,2,WBG_Nle
27,2,FPX.ZQ_lin
28,2,WBG_Persica
29,2,ACT_zz9
30,2,GW_tzym
31,2,Gr_AK
32,1,ACT_zz9
33,1,Gr_heart
34,1,Gr_Jin
35,1,GG_xawm
36,1,FPX.ZQ_stian
37,1,GG_18
38,1,GG_xawm
39,1,GG_ppxia
40,1,FPX.ZQ_DongX
41,1,GG_18
42,1,Gr_Jin
43,1,GW_Littlie
44,1,GW_Lancelot
45,1,Gr_Red
46,1,Gr_Jin
47,1,MRC_Nanako
48,1,Gr_Jin
49,1,TE_Drop
50,1,Wolves_xmx
51,1,GG_18
52,1,MRC_XiaoX
53,1,FPX.ZQ_DongX
54,1,ACT_zz9
55,1,ACT_9u
56,1,TE_YangY
57,1,Wolves_DKing
58,1,FPX.ZQ_SanS
59,1,GG_xawm
60,1,GG_Qiu
61,1,GG_kucao
62,1,WBG_Nle
63,1,ACT_zz9
64,1,DOU5_Czai
65,1,MRC_Nanako
66,1,GW_XingChen
67,1,MRC_Nanako
68,1,MRC_BaiLu
69,1,MRC_XC
70,1,MRC_HuaC
71,1,Wolves_xmx
72,1,TE_kesy
73,1,WBG_Persica
74,1,WBG_Nle
75,1,WBG_Nle
76,1,GG_xawm
