cluster_id,n_images,player_name
0,19,GG_xawm
1,16,Gr_Nle
2,16,MRC_XC
3,13,WBG_Alex
4,12,FPX.ZQ_DongX
5,10,Wolves_ChoAi
6,9,DOU5_Yan
7,5,TE_ppei
8,4,DOU5_Czai
9,4,Gr_ac
10,3,ACT_Gougou
11,3,Gr_Jin
12,3,WBG_Persica
13,3,Wolves_ChoAi
14,3,Gr_AK
15,3,GG_Tx
16,3,FPX.ZQ_DongX
17,3,TE_ppei
18,3,YS_D
19,2,GG_18
20,2,ACT_bo1
21,2,Wolves_487
22,2,MRC_XiaoD
23,2,DOU5_silverzhi
24,2,WBG_Huan
25,2,Wolves_Dking
26,2,FPX.ZQ_SanS
27,2,MRC_HuaC
28,2,TE_ppei
29,1,MRC_Nanako
30,1,GG_kucao
31,1,FPX.ZQ_fulan
32,1,GW_D
33,1,GW_Dragon
34,1,MRC_ALi
35,1,GW_Wu
36,1,MRC_XiaoX
37,1,TE_Libao
38,1,FPX.ZQ_SanS
39,1,Wolves_ChoAi
40,1,TE_YangY
41,1,ACT_Eleven
42,1,DOU5_tzym
43,1,Wolves_Yeyv
44,1,TE_huahua
45,1,FPX.ZQ_DongX
46,1,DOU5_Yan
47,1,WBG_Long
48,1,Gr_Nle
49,1,Gr_heart
50,1,TE_WLizi
51,1,FPX.ZQ_DongX
52,1,DOU5_Czai
53,1,FPX.ZQ_SanS
54,1,Wolves_ChoAi
55,1,YS_Maom
