cluster_id,n_images,player_name
1,19,MRC_Bailu
24,10,Wolves_Jelly
3,10,Gr_Jin
25,9,Gr_Jin
22,8,Wolves_ChoAi
7,7,WBG_Nle
9,7,Gr_heart
38,6,ACT_zz9
13,6,DOU5_mhxm
8,6,FPX.ZQ_DongX
20,6,GG_xawm
6,6,GG_xawm
10,6,WBG_Nle
16,6,GG_ppxia
12,5,FPX.ZQ_DongX
4,5,Wolves_DKing
23,5,GG_xawm
33,5,FPX.ZQ_Yuan
5,5,WBG_Nle
18,5,Gr_Jin
11,5,DOU5_mhxm
17,4,TE_ppei
32,4,Wolves_487
2,4,GG_18
27,3,MRC_HuaCi
35,3,Wolves_xmx
21,3,Gr_Jin
30,3,MRC_Nanako
37,3,TE_ppei
36,3,TE_Maom
15,3,Wolves_ChoAi
19,3,TE_Drop
26,3,WBG_Guoker
29,2,ACT_Gougou
0,2,WBG_Persica
28,2,DOU5_Chen
14,2,ACT_zz9
31,1,GW_tzym
34,1,GW_Littlie
39,1,GW_Lancelot
